Username,AC221,AC222,AC223,PT4,W13,W14,W15,W16,Wiki,Rookie Tasks,WT221,WT222,WT223
KC15,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,10.0,0.0,5.0,5.0,5.0
Beegbeegyoshi,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0
SwagSloth,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0
SecondSucks22,2.0,2.0,2.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,5.0,5.0,5.0
thevoicelesscreator,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0
juniped,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0
SouljaBoy2007,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,5.0,5.0
za2ch,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0
Fantobens,2.0,2.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,12.0,5.0,0.0,0.0
SwankyPants31,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,5.0,5.0,5.0
teddyoojo,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,10.0,0.0,5.0,5.0,5.0
Rindiee,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,0.0,5.0,0.0,5.0
W.Sconnie,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
visceralpotamus,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,10.0,0.0,5.0,5.0,5.0
Gyman122,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Mbrr1214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Big Newff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0
